revenue_total,profit_total,gross_margin
4470712320.0,546129778.0,12.215721766682586
4471737344.0,546230202.0,12.215167394232356
4473336832.0,546905090.0,12.225886637637396
4474677760.0,547321418.0,12.23152699156598
4477836800.0,549555858.0,12.272797838456283
4480483840.0,551278298.0,12.303990320831064
4483302912.0,553172770.0,12.338509818718222
4484957696.0,553902954.0,12.35023809687234
4488514048.0,556534706.0,12.399085756409333
4490567680.0,557663738.0,12.418557691129154
4492307968.0,558479426.0,12.431904267877655
4494155776.0,559402634.0,12.447335203362563
4495554560.0,559876818.0,12.454010078792148
4496985600.0,560383258.0,12.461308704212884
4500623360.0,563096418.0,12.51152058189557
4503022592.0,564571050.0,12.537601987673971
4506320896.0,566944754.0,12.581100349583272
4508119040.0,567818298.0,12.595459280507376
4511915520.0,570690178.0,12.64851204483545
4514463744.0,572313802.0,12.677337430401124
4516248576.0,573174034.0,12.69137480708945
4517502976.0,573503834.0,12.69515121621029
4518913024.0,573989282.0,12.701932499066395
4520508928.0,574660586.0,12.712298441455484
4523410432.0,576637490.0,12.747848082072956
4525701120.0,578003578.0,12.771580859497854
4529182720.0,580560578.0,12.818219398311225
4530998784.0,581452042.0,12.832756522761406
4534724608.0,584253266.0,12.883985611150038
4536765440.0,585369498.0,12.902793978257778
4538373120.0,586052578.0,12.913274481935941
4539316736.0,586071594.0,12.911009036933615
4540698112.0,586528370.0,12.917140834576584
4542350848.0,587256506.0,12.928470865665725
4545725440.0,589706498.0,12.972769820431566
4547784704.0,590841162.0,12.991845490845822
4550745088.0,592876946.0,13.028129120292313
4552707072.0,593914330.0,13.045300754197084
4556263936.0,596546594.0,13.09288931412774
4558629888.0,597987946.0,13.11771213482642
4560665600.0,599099058.0,13.136219809669887
4561296384.0,598805242.0,13.12796169309396
4562618368.0,599202626.0,13.132867526298444
4564209152.0,599868810.0,13.142886095330278
4568404992.0,603140050.0,13.202420780473572
4570874880.0,604685338.0,13.22909407662456
4574314496.0,607200354.0,13.274127839941157
4576266752.0,608228010.0,13.290921245667805
4580066816.0,611103474.0,13.342675959773597
4582330880.0,612442938.0,13.365314597273255
4584272896.0,613460354.0,13.381846323661792
4585465856.0,613728714.0,13.384217291618189
4587440640.0,614778898.0,13.40134829515745
4588832256.0,615245914.0,13.4074614123354
4592685056.0,618174114.0,13.459971813055235
4594805248.0,619369706.0,13.479781461240291
4597939200.0,621579058.0,13.518644570158736
4599782912.0,622498170.0,13.533207586297499
4603615232.0,625405890.0,13.585103412917025
4605801472.0,626667530.0,13.606047368947474
4607050240.0,626991698.0,13.609395716075369
4608338944.0,627355802.0,13.613490883017827
4609989632.0,628081890.0,13.624366650202479
4610878464.0,628046122.0,13.620964571145114
4614460416.0,630703474.0,13.667978856490423
4616988672.0,632307130.0,13.695228100399376
4620034560.0,634428418.0,13.732114116479682
4621773824.0,635243082.0,13.744573105271886
4624551936.0,637096594.0,13.776396131277009
4626756096.0,638376154.0,13.797488796781389
4628417024.0,639112482.0,13.808446358354765
4628819968.0,638590826.0,13.795974576991801
4630414336.0,639260594.0,13.805688813416804
4632010240.0,639931898.0,13.815424941720336
4635321856.0,642318914.0,13.857051008627954
4638198272.0,644270730.0,13.890538787212932
4641177600.0,646325458.0,13.925893678363009
4643045376.0,647268634.0,13.94060539114576
4646731264.0,650029922.0,13.98897171084607
4649423872.0,651797930.0,14.018896705144288
4650996736.0,652446194.0,14.028093998645197
4651853824.0,652378682.0,14.024058078399326
4653287424.0,652887682.0,14.030676004079133
4654784000.0,653459658.0,14.038452869134208
4657945600.0,655696658.0,14.076949674981176
4660850688.0,657677146.0,14.110667558891773
4664248320.0,660150178.0,14.153409782436283
4665888768.0,660866026.0,14.163775839072896
4669224960.0,663277618.0,14.205304385248553
4671279104.0,664407162.0,14.223238372356523
4672662016.0,664865474.0,14.228837260717468
4673798656.0,665077514.0,14.229913673029221
4675209216.0,665563474.0,14.236014758916834
4676379136.0,665808794.0,14.237699182139195
4679769088.0,668274146.0,14.280066674947873
4682267136.0,669847594.0,14.306052485767442
4686599168.0,673255026.0,14.365534620433747
4688455168.0,674186426.0,14.379713612311116
4692193792.0,677000450.0,14.42822867108043
4694114304.0,677996362.0,14.443541807711378
4695840768.0,678798226.0,14.455307569747646
4696665088.0,678697946.0,14.450635361122007
4698111488.0,679219746.0,14.457293057750443
4699074048.0,679257706.0,14.455139439420044
4702589440.0,681848498.0,14.499426469175246
4705077760.0,683412218.0,14.524993057713036
4709252096.0,686661954.0,14.581125410195071
4711428096.0,687913354.0,14.600951982776477
4714896384.0,690457042.0,14.644161520559939
4717140480.0,691776538.0,14.665167190441613
4718953472.0,692664930.0,14.678358964756498
4720101376.0,692888234.0,14.679520179864882
4721396736.0,693258994.0,14.683345475164067
4722818048.0,693755706.0,14.689443864850752
4726150656.0,696163714.0,14.730036443425641
4729040384.0,698128842.0,14.762589982568437
4732533760.0,700697618.0,14.805971885977629
4734394880.0,701634138.0,14.819932764036784
4738057216.0,704371874.0,14.866259352491534
4740035584.0,705425642.0,14.88228578665455
4741519360.0,705984818.0,14.889421816048433
4742220800.0,705761658.0,14.882513652675135
4743992832.0,706609090.0,14.894817825896748
4745428992.0,707120650.0,14.90109010570145
4748851712.0,709618770.0,14.942954908590753
4751143936.0,710986394.0,14.964530723070057
4755308544.0,714226402.0,15.019559622501752
4757138944.0,715132202.0,15.032821416788115
4760338944.0,717407602.0,15.070515155317478
4762220032.0,718364090.0,15.084647184987524
4763653632.0,718873090.0,15.09079260446113
4764738048.0,719032906.0,15.090712201939711
4766033408.0,719403666.0,15.094389913265164
4767680512.0,720126170.0,15.104329415267665
4771142656.0,722663714.0,15.146554318412734
4774810112.0,725406570.0,15.192364784872098
4778734592.0,728406450.0,15.24266384702371
4780642304.0,729389562.0,15.25714570591726
4784326656.0,732149314.0,15.303079547919564
4786304000.0,733202058.0,15.318752381796058
4789037568.0,735011026.0,15.347781585830315
4789921792.0,734970650.0,15.344105434613326
4790492672.0,734616930.0,15.334893095521679
4792061952.0,735261610.0,15.34332438446739
